Altium Designer Pick and Place Locations
C:\Users\fourn\Altium\AD25\Projects\Arribada\linkit-v4-hw\Project Outputs for linkit-v4-hw\smd-variant\linkit-v4-smd-v1.1\Pick Place\Pick Place for linkit-v4-1.1_6layers_smdonly(linkit-v4-hw-SMD).txt

========================================================================================================================
File Design Information:

Date:       18/08/26
Time:       09:33
Revision:   9dd4b1e34a14a6962abd63f29ea9ea0cc9533aeb
Variant:    linkit-v4-hw-SMD
Units used: mil

Designator Comment                     Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
R6         ERA-3AEB304V                BottomLayer ERA3AEB101V             2176.182      387.087       270      "Thin Film Resistors - SMD 0603 1/10W 300Kohms"                                                                                              
R5         ERA-3AEB124V                BottomLayer ERA3AEB101V             2346.182      267.087       270      "Thin Film Resistors - SMD 0603 120Kohm 1/10W AEC-Q200"                                                                                      
R4         CRCW040210K0JNEDC           BottomLayer RESC1005X40N            2301.182      527.087       180      "Thick Film Resistors - SMD 1/16watt 10Kohms 5% Commercial Use"                                                                              
R3         1kR                         BottomLayer RESC0603X28N            2131.182      584.491       180      "Thick Film Resistors - SMD 1/20watt 1Kohms 1% 200ppm"                                                                                       
Q4         NTR4171PT1G                 TopLayer    SOT96P237X111-3N        570.505       72.440        0        "NTR4171PT1G P-channel Mosfet Transistor, 3.5 A, 30 V, 3-PIN SOT-23"                                                                         
Q3         NTR4171PT1G                 TopLayer    SOT96P237X111-3N        750.000       75.984        0        "NTR4171PT1G P-channel Mosfet Transistor, 3.5 A, 30 V, 3-PIN SOT-23"                                                                         
Q2         DMP2305U-7                  BottomLayer SOT96P240X115-3N        2291.182      422.087       270      "MOSFET P-CHANNEL ENHANCEMENT MODE"                                                                                                          
Q1         MMBT3904LT1G                BottomLayer SOT96P237X111-3N        2261.182      622.087       0        "Bipolar Transistors - BJT NPN GENERAL PURPOSE"                                                                                              
L3         10nH                        BottomLayer LQW18AN10NG80D          245.944       565.000       180      "Inductor Wirewound , 10 nH, 52 Milliohm, ± 2%, 4.75 GHz, 1.6 A, 0603 [1608 Metric]"                                                         
L2         DFE252012F-2R2M=P2          TopLayer    DFE2HCAH1R0MJ0L         2097.716      925.000       90       "Inductor Power Chip Shielded Wirewound 2.2uH 20% 1MHz Metal 2.3A 0.082Ohm DCR 1008 T/R"                                                     
J11        U.FL-R-SMT-1_10_            BottomLayer U.FL-R-SMT-1(10)        90.020        566.023       90       "UFL SMT PCB receptable,DC-6GHz Hirose Straight 50 Surface Mount UFL Connector, Receptacle, Solder Termination Coaxial"                      
J9         PRT-14417                   BottomLayer SPARKFUN_PRT-14417      2634.823      785.000       270      "QWIIC JST CONNECTOR - SMD 4-PIN"                                                                                                            
